TIMESTAMP,TID,TGID,STATE,USER,EXE,COMM,SYSCALL_PASSIVE,SYSCALL_ACTIVE,SC_ENTRY_TIME,SC_US_SO_FAR,SC_SEQ_NUM,ARG0,FILENAME
2024-12-28T23:55:59.375519,1702,1623,SLEEP,"root","ModemManager","gmain",poll,read,2024-12-28T23:55:59.373157,0,0,5fd68bc24630,"-"
2024-12-28T23:55:59.375519,1703,1630,SLEEP,"root","boltd","gmain",poll,read,2024-12-28T23:55:59.373116,0,0,61ec9c6a01f0,"-"
2024-12-28T23:55:59.375519,1704,1630,SLEEP,"root","boltd","pool-spawner",futex,read,2024-12-28T23:55:59.373093,0,0,61ec9c699ee0,"-"
2024-12-28T23:55:59.375519,1706,1623,SLEEP,"root","ModemManager","pool-spawner",futex,read,2024-12-28T23:55:59.373071,0,0,5fd68bc37530,"-"
2024-12-28T23:55:59.375519,1707,1630,SLEEP,"root","boltd","gdbus",poll,read,2024-12-28T23:55:59.373049,0,0,71fc34000b90,"-"
2024-12-28T23:55:59.375519,1710,1623,SLEEP,"root","ModemManager","gdbus",poll,read,2024-12-28T23:55:59.373026,0,0,7bcf58000b90,"-"
2024-12-28T23:55:59.375519,1711,1369,SLEEP,"root","snapd","snapd",futex,read,2024-12-28T23:55:59.373003,0,0,c000101148,"-"
2024-12-28T23:55:59.375519,1742,1369,SLEEP,"root","snapd","snapd",futex,read,2024-12-28T23:55:59.372979,0,0,c000680148,"-"
2024-12-28T23:55:59.375519,1743,1369,SLEEP,"root","snapd","snapd",futex,read,2024-12-28T23:55:59.372956,0,0,c000700148,"-"
2024-12-28T23:55:59.375519,1744,1369,SLEEP,"root","snapd","snapd",epoll_pwait,read,2024-12-28T23:55:59.372933,0,0,6,"[eventpoll]"
2024-12-28T23:55:59.375519,1753,1373,SLEEP,"root","udisksd","cleanup",poll,read,2024-12-28T23:55:59.372910,0,0,603ab41b3150,"-"
2024-12-28T23:55:59.375519,1788,1369,SLEEP,"root","snapd","snapd",futex,read,2024-12-28T23:55:59.372888,0,0,c0000a1148,"-"
2024-12-28T23:55:59.375519,1840,1840,SLEEP,"root","python3.12","unattended-upgr",poll,read,2024-12-28T23:55:59.372865,0,0,31b3cfc0,"-"
2024-12-28T23:55:59.375519,1844,1844,SLEEP,"root","containerd","containerd",futex,read,2024-12-28T23:55:59.372841,0,0,55bac5180ea0,"-"
