KSTACK_HASH,KSTACK_SYMS
c7407730aa6611f2,'inet6_recvmsg+0x54;sock_recvmsg+0x63;sock_read_iter+0x8c;vfs_read+0x343;ksys_read+0xd8;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
9fe1b904fbb15156,'tcp_sendmsg+0x37'
4c431157b09ab9de,'rm_ioctl+0x7f'
af39fe0362c44e95,'try_to_wake_up+0x132'
7b6e0e030ac0c5c5,'__mod_timer+0x122'
83361163c30840e8,'__x64_sys_io_destroy+0xdf;x64_sys_call+0x7fb;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
b115e3ce1b02adfa,'__map_bio+0x1c6;__split_and_process_bio+0xc9;dm_split_and_process_bio+0xf5;dm_submit_bio+0x4f;__submit_bio+0x1a1;__submit_bio_noacct+0x91;submit_bio_noacct_nocheck+0x1f8;submit_bio_noacct+0x16c;submit_bio+0xb1;iomap_dio_submit_bio+0x84;iomap_dio_bio_iter+0x3a0;__iomap_dio_rw+0x3a4;iomap_dio_rw+0x11;xfs_file_dio_read+0xcf;xfs_file_read_iter+0x126;vfs_read+0x2ab;__x64_sys_pread64+0xa9;x64_sys_call+0x1ba4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
ad8ff9035ff06816,'kernel_wait4+0xc7'
58a08e1e5e6b0124,'dm_bufio_write_dirty_buffers+0x1fc;dm_bm_flush+0x21;dm_tm_pre_commit+0x2d;__commit_transaction+0xa8;dm_cache_commit+0xc4;commit+0x2f;commit_op+0x38;__commit+0x9e;process_one_work+0x17b;worker_thread+0x2de;kthread+0xfe;ret_from_fork+0x47;ret_from_fork_asm+0x1a'
82a44804ca01ea53,'syscall_exit_to_user_mode+0x114'
3dee5dede93827d5,'hrtimer_nanosleep+0x8c;common_nsleep+0x43;__x64_sys_clock_nanosleep+0xf3;x64_sys_call+0x1faf;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
b2bc530368bac504,'get_nohz_timer_target+0x29'
ee213e03cda74055,'page_counter_uncharge+0x22'
f0109b03d0f0fb5c,'mntput_no_expire+0x51'
8689923f102e2152,'try_to_block_task.constprop.0.isra.0+0x5e;ep_poll+0x43c;do_epoll_wait+0xc3;__x64_sys_epoll_wait+0x6f;x64_sys_call+0x2162;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
a54c120504e50691,'tcp_write_xmit+0x5ce'
8259a904c9831e26,'sysvec_apic_timer_interrupt+0x57'
995ae304f09a33b4,'napi_gro_receive+0x89'
86cf7604e45dda7d,'__ip_queue_xmit+0x193;ip_queue_xmit+0x15;__tcp_transmit_skb+0xa86;tcp_write_xmit+0x5bb;__tcp_push_pending_frames+0x37;tcp_push+0x123;tcp_sendmsg_locked+0x9b9;tcp_sendmsg+0x2c;inet6_sendmsg+0x42;sock_write_iter+0x122;vfs_write+0x3ca;ksys_write+0xd8;__x64_sys_write+0x19;x64_sys_call+0x2c4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
da440c553be6645f,'uas_submit_urbs+0x2c0'
7d55bedf453030e5,'__ip_finish_output+0xb6;ip_finish_output+0x2b;ip_output+0x5f;ip_local_out+0x61;__ip_queue_xmit+0x193;ip_queue_xmit+0x15;__tcp_transmit_skb+0xa86;tcp_write_xmit+0x5bb;__tcp_push_pending_frames+0x37;tcp_push+0x123;tcp_sendmsg_locked+0x9b9;tcp_sendmsg+0x2c;inet6_sendmsg+0x42;sock_write_iter+0x122;vfs_write+0x3ca;ksys_write+0xd8;__x64_sys_write+0x19;x64_sys_call+0x2c4'
b28f7203686e82b1,'try_to_block_task.constprop.0.isra.0+0x5e'
7e34d8030f788f03,'syscall_exit_to_user_mode_prepare+0x1a4'
8125db04c778171c,'timerqueue_del+0x31'
41340517a30dd522,'srso_return_thunk+0x5;worker_thread+0x1d5;kthread+0xfe;ret_from_fork+0x47;ret_from_fork_asm+0x1a'
74137202fe41ceb1,'psi_task_switch+0xbe'
e3210b73ba6e70bf,'dequeue_task+0x4a;try_to_block_task.constprop.0.isra.0+0x5e;wait_woken+0x5b;sk_wait_data+0x17f;tcp_recvmsg_locked+0x24d;tcp_recvmsg+0x84;inet6_recvmsg+0x54;sock_recvmsg+0x63;sock_read_iter+0x8c;vfs_read+0x343;ksys_read+0xd8;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
dfa5d055450b846b,'dm_bufio_write_dirty_buffers+0x1fc'
e49b4abab7d68fab,'ip_finish_output2+0x1f4;__ip_finish_output+0xb6;ip_finish_output+0x2b;ip_output+0x5f;ip_local_out+0x61;__ip_queue_xmit+0x193;ip_queue_xmit+0x15;__tcp_transmit_skb+0xa86;tcp_write_xmit+0x5bb;__tcp_push_pending_frames+0x37;tcp_push+0x123;tcp_sendmsg_locked+0x9b9;tcp_sendmsg+0x2c;inet6_sendmsg+0x42;sock_write_iter+0x122;vfs_write+0x3ca;ksys_write+0xd8;__x64_sys_write+0x19;x64_sys_call+0x2c4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
4ce7c3cbf0aa67d6,'dequeue_task+0x4a;try_to_block_task.constprop.0.isra.0+0x5e;futex_wait_queue+0x69;__futex_wait+0x154;futex_wait+0x73;do_futex+0x105;__x64_sys_futex+0x12a;x64_sys_call+0x1b59;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
a07abf04fcb55688,'tcp_rearm_rto.part.0+0x7d'
aac418050e2ff8c3,'inet6_recvmsg+0x54'
1e1f8b35f473cfa9,'futex_wait_queue+0x69;__futex_wait+0x154;futex_wait+0x73;do_futex+0x105;__x64_sys_futex+0x12a;x64_sys_call+0x1b59'
2c949ae9abea12e2,'__wait_rcu_gp+0x18f;synchronize_rcu_normal.part.0+0x48;synchronize_rcu_normal+0xb7;synchronize_rcu+0xef;rcu_sync_enter+0x59;cgroup_procs_write_start+0x115;__cgroup_procs_write+0x5f;cgroup_procs_write+0x17;cgroup_file_write+0x8d;kernfs_fop_write_iter+0x14c;vfs_write+0x29b;ksys_write+0x72;__x64_sys_write+0x19;x64_sys_call+0x2c4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
d8c2881fd48ced9a,'cgroup_kn_lock_live+0x4a;__cgroup_procs_write+0x40;cgroup_procs_write+0x17;cgroup_file_write+0x8d;kernfs_fop_write_iter+0x14c;vfs_write+0x29b;ksys_write+0x72;__x64_sys_write+0x19;x64_sys_call+0x2c4;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
c8f9aa2e5bf330fe,'folio_wait_bit_common+0x138;filemap_update_page+0x24c;filemap_get_pages+0x2f4;filemap_read+0x11c;generic_file_read_iter+0xbb;ext4_file_read_iter+0x60;vfs_read+0x2ab;ksys_read+0x72;__x64_sys_read+0x19;x64_sys_call+0x1bd1;do_syscall_64+0x7e;entry_SYSCALL_64_after_hwframe+0x76'
acd58e035eb3a445,'mmput+0x12'
